dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10
82,43,32,72,15,81,42,96,15,80
47,32,86,18,26,45,58,18,65,60
42,47,64,89,24,95,89,8,58,74
61,64,76,76,76,38,10,26,23,61
82,42,60,55,33,87,84,64,15,49
88,17,55,17,18,70,7,22,70,84
16,32,50,42,6,61,57,31,85,12
92,89,23,91,49,95,9,63,15,22
94,32,54,47,71,19,64,19,25,60
55,2,62,75,2,70,57,55,48,66
74,15,32,93,60,95,10,98,56,46
67,60,98,100,25,27,15,42,100,23
63,77,78,66,88,16,84,5,4,67
56,28,78,51,32,15,65,70,72,33
47,81,30,40,70,88,45,56,81,24
55,100,19,0,87,18,47,68,46,7
29,68,5,65,44,53,15,83,41,24
96,67,83,12,57,24,42,21,5,8
10,75,68,41,26,89,0,21,62,79
55,53,86,48,39,26,15,58,19,45
8,23,50,33,47,51,56,17,27,11
68,49,97,80,90,39,99,0,7,29
71,46,73,99,53,35,67,86,3,84
52,53,69,96,83,81,64,71,54,55
9,72,38,75,11,40,14,59,34,63
61,61,35,97,10,24,6,73,30,88
39,7,39,36,62,42,53,70,11,11
56,26,57,23,56,1,59,82,96,31
49,3,68,15,91,56,82,37,65,37
80,25,48,66,5,78,28,49,32,79
57,25,5,1,3,70,48,93,15,41
37,85,7,95,86,84,55,68,9,41
81,81,24,34,84,91,64,21,20,75
23,47,71,84,96,68,44,46,59,3
79,42,86,8,25,68,1,91,95,1
65,88,22,56,25,26,60,83,75,46
75,91,58,62,95,56,11,43,4,65
52,77,26,54,81,72,91,79,51,59
76,4,22,89,31,19,95,51,27,49
79,93,52,15,34,100,70,24,75,5
65,82,32,15,13,97,85,39,77,53
55,6,52,24,0,5,13,38,64,12
88,26,87,6,99,29,17,68,19,55
28,56,9,100,52,51,3,12,30,83
5,7,11,98,17,76,85,45,56,56
30,54,60,42,47,84,45,31,26,52
49,49,70,50,34,16,41,2,85,23
55,56,100,7,11,65,87,8,32,81
33,59,54,52,98,72,82,36,62,75
13,33,63,94,58,15,60,49,50,47
55,0,28,30,69,65,16,77,55,16
69,13,44,78,10,1,83,34,85,23
17,59,65,79,59,50,82,58,9,47
16,25,72,60,7,94,62,63,18,32
13,95,71,21,96,100,94,62,53,42
65,49,10,78,53,87,81,55,56,53
51,54,4,32,56,80,6,87,45,39
51,8,68,35,19,47,37,36,80,2
34,36,3,51,46,87,54,31,40,99
97,92,9,54,2,45,99,60,8,41
38,18,82,35,61,39,11,63,13,50
24,24,91,44,22,25,12,55,58,10
16,71,84,44,58,84,21,54,62,54
90,56,96,62,33,53,79,100,34,10
75,5,65,19,29,51,56,77,86,26
69,27,6,77,24,50,77,41,22,61
12,77,99,26,39,98,73,77,63,25
87,2,6,75,36,93,44,84,86,78
55,77,21,61,5,68,72,81,15,68
39,65,75,84,4,10,21,75,14,28
41,82,43,20,54,76,67,70,2,45
4,22,1,90,95,91,15,91,59,90
94,60,53,69,49,69,68,37,65,81
22,87,12,95,31,98,26,97,53,74
57,49,69,0,19,37,16,1,71,88
73,18,41,62,94,27,30,28,93,46
26,5,26,53,20,26,62,56,21,23
53,22,9,38,49,25,34,8,5,11
12,79,29,60,48,85,3,68,98,8
26,7,6,94,100,61,11,53,45,67
87,52,72,10,34,36,49,11,76,35
23,35,25,41,4,31,12,12,52,72
53,13,71,34,40,4,96,65,32,5
5,71,48,19,57,13,22,71,18,11
36,4,51,73,1,71,34,35,93,39
47,50,29,41,22,30,39,14,7,9
50,32,31,10,48,99,45,24,91,38
49,69,42,55,11,97,11,36,79,49
55,61,37,53,46,34,34,62,38,58
94,29,33,100,33,73,35,33,90,73
86,33,40,8,39,21,66,39,71,54
15,17,3,26,72,87,66,55,0,97
38,46,20,40,31,69,38,87,23,70
22,73,41,92,27,94,39,60,11,14
0,67,52,44,73,25,54,16,24,31
64,18,47,28,7,65,46,90,79,66
13,18,95,37,40,66,98,36,44,80
73,86,66,30,77,13,47,43,43,1
76,27,38,87,88,5,69,84,29,63
13,1,18,67,20,40,26,57,3,53
38,94,13,39,45,64,64,52,85,34
83,100,5,52,21,97,96,64,14,95
97,87,60,81,48,48,47,98,80,46
91,81,8,45,46,88,35,28,99,91
65,3,17,100,7,96,12,82,3,15
19,53,3,14,30,24,47,43,79,8
53,35,53,16,89,74,18,33,83,86
21,27,21,8,56,80,32,47,2,19
8,23,20,4,26,48,18,51,27,83
92,64,46,54,50,59,35,58,68,32
69,69,93,36,38,57,31,51,1,27
29,88,84,76,43,33,30,42,9,41
29,12,20,30,53,15,22,6,95,16
30,5,59,72,32,67,53,54,84,32
52,48,40,76,37,37,56,23,30,68
11,52,27,11,1,62,88,37,23,83
79,56,13,84,3,13,88,29,2,74
66,43,3,53,20,29,58,86,58,27
53,62,100,90,45,9,38,14,85,48
92,89,36,9,77,29,56,42,100,25
72,88,14,18,91,82,97,17,8,64
62,85,17,12,51,96,39,67,10,21
24,46,29,35,85,34,13,21,31,83
5,38,75,77,67,79,75,76,51,99
67,17,40,34,1,67,77,55,75,91
92,52,63,75,69,19,43,7,67,0
86,32,34,49,46,1,40,23,72,55
5,35,35,14,70,81,18,99,82,46
38,0,75,45,68,100,47,8,76,53
45,68,57,20,19,16,96,1,81,86
92,40,89,52,91,82,16,89,52,17
26,65,74,20,100,19,58,50,99,55
51,56,22,65,58,37,45,62,29,10
47,38,86,100,93,43,18,41,82,22
48,86,32,45,30,3,44,27,31,71
19,19,53,53,41,49,73,65,96,53
65,9,1,38,98,14,14,66,32,29
64,34,90,44,53,7,53,21,63,28
29,10,94,30,26,85,49,85,82,97
6,26,49,66,26,65,46,100,98,81
79,62,99,41,2,61,70,94,26,70
77,31,42,5,40,86,13,78,67,81
12,77,59,91,31,21,29,77,96,89
54,16,7,63,96,88,21,54,71,17
56,67,43,97,87,45,60,48,16,99
36,61,24,18,13,16,15,40,67,35
75,75,84,65,91,41,52,67,43,54
31,94,22,6,77,46,93,62,90,33
94,16,11,60,45,68,59,81,45,66
79,21,75,57,98,73,36,13,38,46
56,34,88,82,34,70,78,97,60,19
59,80,78,20,51,0,43,27,9,67
95,88,35,73,94,57,96,0,22,14
60,21,69,62,3,41,61,40,51,14
45,45,91,1,21,22,12,71,36,91
7,70,37,49,73,50,64,18,50,92
63,84,32,85,28,38,85,75,93,96
84,52,44,58,14,75,26,10,92,52
8,65,72,60,13,100,37,16,86,33
5,13,32,32,62,51,93,12,45,27
9,100,2,84,15,9,38,91,22,100
7,91,44,22,15,47,23,77,97,53
32,10,73,65,34,42,88,21,67,19
43,7,6,71,76,100,34,35,67,9
59,95,50,10,65,1,58,11,38,45
71,59,51,24,30,70,11,6,19,77
85,37,6,85,2,15,3,21,2,0
64,32,2,11,83,18,51,96,6,72
70,98,42,28,8,50,34,39,15,93
68,30,70,100,21,53,29,75,98,42
16,52,77,60,29,100,65,12,38,42
26,37,59,42,58,26,18,48,64,28
100,89,1,53,36,28,72,24,63,87
5,73,97,92,81,28,5,6,82,19
95,53,87,93,84,11,4,85,55,59
11,67,69,52,5,40,3,63,46,52
30,26,93,67,24,29,39,17,57,70
61,33,45,50,15,9,30,16,55,22
36,53,82,87,12,42,41,99,46,57
90,46,3,25,29,77,96,21,26,42
91,49,43,66,93,100,79,14,79,39
54,99,21,48,89,56,27,87,81,1
97,24,38,68,30,83,75,2,84,75
99,86,84,50,97,52,25,85,43,46
71,80,76,39,12,89,39,14,33,40
27,23,37,100,61,52,88,58,30,32
76,88,68,2,31,58,63,44,59,22
58,61,11,55,89,65,39,60,64,99
13,21,14,34,18,28,55,55,23,29
79,19,7,78,51,88,36,61,18,14
85,36,95,54,34,51,99,60,98,10
32,11,77,12,18,38,67,97,66,93
59,74,86,84,89,12,59,30,92,33
59,32,98,20,1,57,37,57,81,64
85,52,85,35,84,83,82,84,26,71
90,25,80,15,94,13,55,80,46,94
31,28,1,82,16,67,32,57,47,21
76,57,55,14,22,2,14,12,90,83
13,45,62,14,29,86,46,22,21,100
85,15,14,0,78,9,90,0,50,60
11,32,31,37,33,28,2,99,42,9
52,100,8,71,38,41,60,23,71,79
23,79,4,85,41,36,30,8,70,52
56,56,20,31,72,52,93,73,1,33
100,73,56,14,27,37,3,34,48,98
64,90,55,47,83,53,47,99,8,41
1,58,44,50,74,2,22,79,16,72
66,24,81,27,42,16,86,21,22,38
33,57,19,77,43,94,17,54,88,72
63,64,30,21,44,9,30,25,90,58
87,28,74,36,59,84,74,54,75,69
33,99,60,7,65,82,90,8,85,42
66,78,49,79,35,58,77,33,65,10
85,45,50,4,99,45,8,35,97,54
36,6,87,82,23,5,5,92,48,38
50,100,18,62,42,8,11,70,25,41
87,1,33,42,62,97,10,82,21,65
87,38,11,90,53,12,81,62,93,52
92,21,9,84,30,53,67,47,66,3
89,31,54,85,45,93,20,50,50,99
58,26,58,79,88,90,16,41,70,79
32,54,25,0,17,74,54,68,83,27
13,21,58,96,82,89,40,10,19,48
50,70,43,85,1,61,34,10,20,66
43,34,9,8,12,100,35,98,76,19
58,2,77,75,56,5,67,19,11,70
24,6,12,14,65,36,82,16,46,1
87,15,4,43,16,87,53,74,87,18
12,33,91,37,26,50,82,50,14,11
54,96,27,69,40,24,95,21,95,21
9,29,61,87,27,88,42,100,96,25
100,45,83,57,45,98,35,44,88,37
9,88,38,49,9,55,38,9,38,31
61,14,43,48,24,31,53,21,37,83
43,96,33,66,100,90,29,36,85,12
39,60,50,63,52,100,61,26,25,16
93,1,27,6,58,80,32,62,15,39
29,93,34,67,100,6,85,59,61,98
48,43,53,100,26,23,77,99,48,78
63,75,81,40,2,58,60,3,28,78
45,65,58,94,70,12,82,2,89,3
47,64,21,73,72,1,31,44,89,27
96,5,64,60,98,19,19,67,4,54
21,93,20,88,34,54,28,21,76,81
73,89,28,78,97,86,70,66,33,39
28,43,56,84,38,53,26,80,58,94
54,81,80,35,55,46,63,6,41,33
21,58,3,47,73,26,85,5,87,72
37,22,86,0,61,24,23,80,72,94
34,53,37,14,69,91,35,34,13,55
77,31,22,72,42,71,18,74,6,31
74,3,73,5,94,90,87,78,72,94
6,36,18,77,32,31,89,36,86,85
67,10,22,59,92,9,61,49,41,99
53,77,80,49,79,17,61,44,86,47
11,33,70,7,13,17,44,57,63,7
11,61,44,38,57,12,2,29,71,87
12,97,3,94,36,36,38,48,6,87
16,10,11,15,70,67,75,51,3,43
58,78,39,77,90,58,5,93,91,91
35,78,33,3,65,58,98,27,17,67
8,93,6,49,36,50,62,7,54,76
29,52,5,95,70,17,81,22,98,49
85,2,80,57,94,43,42,2,73,95
28,20,68,40,9,97,61,30,81,72
81,3,53,88,61,91,82,52,75,6
92,50,73,67,42,99,72,23,22,49
19,18,60,44,41,31,26,25,73,47
98,2,73,72,24,15,47,88,51,16
32,46,43,36,44,71,93,90,37,50
40,10,76,45,15,48,42,60,77,96
2,31,44,55,49,73,86,71,84,68
33,44,91,41,48,83,20,67,40,95
13,52,18,45,57,87,29,67,75,20
39,23,42,63,25,78,41,40,99,90
67,99,48,56,20,31,9,6,26,25
2,5,24,86,33,18,78,14,96,70
44,20,15,34,31,45,39,70,65,89
8,31,32,24,68,69,92,42,26,0
55,70,28,85,46,50,39,83,94,30
47,88,89,65,58,51,77,33,41,85
9,19,79,59,44,88,70,35,77,54
46,24,1,87,60,6,11,32,9,82
22,50,8,45,58,93,26,83,45,55
71,62,15,99,37,66,32,31,7,97
38,54,10,83,71,12,53,0,34,43
71,64,18,87,28,32,70,66,10,80
40,16,96,55,33,47,38,59,14,74
89,56,16,99,0,8,11,37,26,5
38,67,63,61,42,65,27,46,62,53
39,38,80,79,21,61,62,64,61,30
59,12,11,88,56,50,90,80,77,52
26,20,24,0,6,62,45,84,52,86
26,81,44,36,40,1,51,1,15,60
13,29,63,27,20,66,32,40,41,90
56,56,23,66,47,44,61,61,8,24
79,31,8,86,94,6,43,71,73,43
39,3,10,5,40,71,31,14,46,2
32,21,75,43,83,95,66,57,39,9
73,33,39,27,0,65,74,19,71,88
24,100,96,46,9,18,37,4,51,15
4,91,78,18,92,29,4,5,29,19
92,27,36,7,62,45,36,14,96,22
37,80,75,31,0,80,100,31,57,44
70,84,7,35,38,50,32,46,99,22
49,45,38,35,58,41,85,37,20,80
48,61,5,77,26,35,65,96,76,14
56,61,98,28,92,66,62,48,83,14
100,84,60,11,68,40,12,97,55,73
84,53,61,78,17,10,86,62,89,55
97,91,11,30,19,45,62,68,67,53
43,89,2,7,24,93,93,67,2,48
81,11,86,61,66,37,92,76,26,49
87,87,38,91,20,98,86,70,90,96
54,47,64,97,39,20,85,87,46,0
85,86,54,18,64,36,70,60,85,82
42,98,75,60,78,44,5,97,93,26
80,90,31,46,67,66,76,96,13,51
72,53,31,66,34,10,3,47,45,85
36,21,32,100,100,27,70,83,1,59
46,97,21,82,22,17,39,95,85,11
80,61,16,3,10,17,69,38,55,18
43,53,6,10,59,27,23,13,44,93
24,28,26,91,1,25,56,37,13,53
23,88,76,93,47,86,65,54,60,38
30,49,31,72,36,38,91,57,46,52
17,75,54,50,68,50,4,19,96,10
92,88,35,75,92,6,63,67,35,76
87,100,43,75,59,91,93,90,80,70
79,46,85,45,64,54,16,33,86,93
83,63,73,65,11,55,65,96,84,71
38,39,99,50,12,3,25,95,78,40
88,59,90,17,99,27,75,96,34,89
21,92,75,20,70,49,33,29,65,4
25,73,85,51,25,89,90,28,75,40
85,0,36,74,0,31,22,58,15,36
99,60,66,70,41,31,92,63,1,63
33,83,82,0,70,35,72,87,85,73
56,46,35,21,87,6,21,83,28,87
2,66,35,22,95,85,59,16,10,98
0,43,38,96,66,35,64,70,38,47
62,39,45,82,37,83,90,56,93,52
49,6,65,16,95,94,82,22,39,58
23,14,36,86,100,84,13,17,9,78
97,16,91,81,5,75,38,16,60,8
23,84,82,85,9,5,47,3,29,15
51,56,15,85,52,42,52,78,66,52
77,38,79,47,76,28,30,27,57,47
60,68,58,38,73,96,21,89,58,8
56,50,27,53,66,62,58,95,8,84
12,84,45,80,54,19,80,80,92,94
17,13,33,30,79,12,76,49,79,87
98,35,96,4,37,15,35,20,100,7
15,51,7,93,72,48,52,69,30,87
15,82,47,44,35,58,17,34,86,39
97,41,93,19,95,57,16,48,19,97
68,26,23,58,73,95,9,67,47,99
8,52,65,69,8,2,23,44,0,21
5,91,27,74,47,35,47,67,57,47
53,15,14,80,64,66,21,90,81,62
93,87,100,88,15,24,21,51,33,64
63,75,57,34,30,83,41,52,78,99
46,72,92,82,20,42,35,1,18,25
78,93,46,0,27,33,58,48,74,80
33,18,45,64,64,70,74,4,63,85
29,6,53,52,25,69,88,15,81,75
72,85,79,10,31,45,72,0,90,79
31,68,81,34,41,8,82,17,92,40
8,1,79,55,74,30,3,59,44,74
46,20,36,66,54,25,85,69,59,65
4,6,64,20,34,38,44,60,26,85
54,38,99,2,55,27,38,87,63,49
52,61,76,99,88,51,3,47,78,29
28,41,0,24,58,72,60,73,58,36
