dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10
66,62,100,22,57,15,12,76,34,88
18,68,27,93,80,40,21,16,82,36
44,70,88,93,32,96,19,86,94,88
68,61,47,94,71,78,75,0,6,90
49,14,75,90,12,7,57,41,15,76
75,56,77,54,43,20,70,36,61,50
42,33,86,62,32,99,77,57,61,53
98,91,79,37,90,9,92,90,31,97
89,4,67,93,99,89,87,36,28,70
22,78,87,87,69,39,52,36,14,90
28,28,99,69,98,19,100,84,63,10
6,17,98,20,51,96,92,72,17,99
49,91,75,94,100,89,10,49,45,87
96,50,98,55,96,33,17,8,51,47
24,2,26,60,47,3,64,47,49,55
40,46,34,24,33,22,8,89,67,51
27,27,41,84,86,27,70,14,43,81
49,45,2,55,72,97,53,75,25,15
24,70,77,42,93,4,10,6,86,83
62,47,40,32,80,96,91,89,73,38
46,62,74,10,39,22,11,56,80,82
67,28,13,89,41,80,11,76,29,41
100,6,61,21,73,55,67,13,10,84
45,7,75,75,2,23,38,17,26,93
2,64,52,79,86,58,76,5,82,85
91,71,84,51,91,96,7,17,17,87
92,64,63,54,59,23,46,88,39,16
36,92,8,16,15,98,69,3,53,99
72,90,55,25,87,62,20,94,17,79
29,39,33,37,10,60,8,96,29,49
13,47,65,47,44,31,85,34,10,68
31,32,68,82,27,19,76,53,61,69
45,56,85,80,22,71,99,19,0,92
26,93,36,19,57,17,37,18,73,29
79,23,84,99,51,92,97,53,4,17
52,14,38,22,81,46,24,9,67,61
96,44,31,2,11,13,45,26,89,19
14,27,94,3,61,44,39,93,4,17
22,39,50,19,60,85,7,65,63,51
25,61,36,13,75,60,52,19,35,4
85,12,63,15,56,83,24,57,93,2
50,43,87,69,22,52,37,87,92,19
77,35,87,45,43,92,41,46,71,92
65,41,53,25,43,65,23,22,8,52
35,17,74,96,22,2,49,45,90,76
97,99,84,68,49,67,70,54,69,22
44,44,14,47,75,42,57,76,60,1
70,56,34,34,95,10,62,1,21,92
19,28,82,91,6,45,4,50,37,48
6,43,70,5,6,57,5,42,71,93
99,71,92,62,91,6,52,24,30,81
89,36,40,62,72,41,16,55,9,30
68,90,5,27,17,99,44,42,91,42
22,7,57,34,92,27,4,64,82,53
77,29,57,94,45,30,39,14,94,92
11,26,43,92,79,69,64,70,76,48
93,18,49,41,100,98,96,78,62,32
89,6,15,59,14,81,56,30,70,65
88,45,67,56,100,61,47,56,60,67
80,92,36,48,28,2,47,46,59,58
68,67,0,36,2,48,77,82,92,17
94,47,38,91,16,43,80,30,34,14
93,55,95,82,99,95,41,75,40,88
1,36,15,81,70,26,24,1,60,60
46,89,13,57,62,53,13,84,26,7
95,72,42,86,94,71,87,17,58,77
63,22,31,41,73,46,23,7,22,26
31,30,70,89,11,88,8,76,97,2
27,54,0,68,76,71,75,22,41,27
62,74,47,27,44,43,59,48,45,5
22,16,44,76,97,1,1,36,61,26
92,50,20,99,58,30,30,63,28,28
52,34,26,10,43,75,74,79,82,10
11,36,82,26,12,78,4,50,0,48
82,3,73,23,11,83,52,2,11,77
46,46,53,13,42,4,6,2,93,30
70,30,16,41,65,81,21,92,100,6
29,27,46,82,63,88,94,65,37,93
24,90,32,7,27,11,54,67,95,26
20,57,11,67,91,41,84,15,48,85
23,4,5,92,81,72,89,91,40,62
96,8,49,87,42,87,74,70,95,1
60,41,18,2,60,2,95,8,72,55
16,97,57,19,68,15,3,15,25,36
61,15,23,26,72,36,51,51,85,74
62,79,81,70,27,62,76,94,42,89
80,46,42,57,50,53,10,13,97,18
26,34,56,8,29,85,41,4,98,80
50,11,34,61,69,55,99,78,6,53
68,57,58,18,44,57,86,57,100,46
66,36,29,83,17,19,18,9,76,13
4,43,49,85,27,97,27,24,85,82
16,96,78,60,25,38,93,36,54,8
18,47,56,21,83,13,15,16,14,10
27,91,98,50,61,14,10,36,1,59
87,91,42,23,75,33,15,49,52,0
23,16,57,71,52,55,83,15,100,43
53,40,0,63,62,77,52,64,50,94
47,51,61,72,17,96,86,10,86,87
96,61,99,29,67,13,44,23,56,11
12,83,23,71,82,19,92,63,13,55
19,36,5,29,42,75,52,94,26,80
28,82,46,2,60,89,78,11,28,65
65,81,75,50,28,91,74,96,16,68
7,69,78,86,75,54,80,93,27,15
33,97,58,65,60,64,23,36,61,66
22,62,5,77,30,1,32,89,30,3
4,9,37,51,7,29,76,45,59,37
17,81,95,54,39,13,50,75,80,52
4,72,5,39,88,70,71,0,88,28
96,78,41,19,14,15,49,36,41,34
1,68,54,56,25,71,13,47,82,36
56,17,45,88,94,2,64,87,2,2
63,86,67,58,77,26,26,70,62,15
69,75,75,84,32,48,78,94,41,87
52,16,13,80,61,34,1,94,21,3
19,59,50,39,53,7,80,82,0,54
67,93,4,51,85,35,87,100,77,82
65,48,17,50,50,19,48,28,64,24
44,37,63,72,21,47,100,46,29,45
48,41,0,14,20,24,44,17,88,15
74,32,32,39,0,96,14,74,56,61
84,68,76,92,98,32,95,12,71,3
48,28,32,60,78,0,62,73,25,71
54,77,38,38,21,28,19,70,2,49
16,78,2,82,81,75,70,49,60,31
10,40,87,36,86,13,59,38,49,76
92,87,51,74,87,72,30,56,82,13
76,32,82,77,13,2,45,54,5,89
63,64,42,44,45,67,70,49,74,74
12,4,27,77,90,24,52,43,79,68
54,83,86,19,16,73,55,3,100,72
60,0,80,11,13,72,11,22,24,32
79,69,1,75,67,65,41,3,100,47
27,20,21,14,81,66,35,58,44,70
17,19,68,98,17,12,28,70,12,74
90,46,24,88,48,50,50,6,85,35
40,87,85,40,73,86,47,52,47,66
67,13,36,6,31,67,6,29,23,55
97,94,26,62,20,14,24,9,48,43
75,30,64,72,29,33,12,35,31,79
25,49,30,46,6,11,91,52,53,67
26,14,97,42,61,52,88,57,81,27
90,4,47,58,46,19,73,66,34,1
64,57,79,12,21,79,66,90,55,89
61,23,14,99,3,59,13,42,0,26
82,82,31,77,88,14,59,89,18,44
16,23,92,80,95,7,28,20,55,51
0,20,69,72,27,69,73,76,7,79
95,13,98,86,28,2,27,75,55,69
94,100,19,83,38,54,79,7,40,37
79,29,7,33,30,12,42,63,52,60
59,87,15,74,36,32,16,86,34,70
78,4,64,91,88,52,15,25,13,36
40,100,54,11,77,95,96,24,22,57
9,33,31,23,3,90,64,59,30,37
93,32,90,88,56,63,48,85,68,3
18,17,58,95,16,29,69,91,72,45
22,27,82,62,83,87,24,18,70,98
3,32,100,14,41,7,31,49,45,86
23,70,4,35,75,73,23,12,9,75
69,11,11,33,12,13,83,64,14,13
19,83,76,81,34,66,73,38,3,44
82,12,66,71,35,78,34,10,65,17
75,38,58,91,20,59,53,31,16,25
7,37,68,31,7,25,48,88,62,8
97,21,94,5,45,18,19,87,43,20
66,49,67,76,43,66,40,71,77,31
88,0,31,70,7,39,42,23,86,46
94,58,83,92,23,74,72,12,55,57
6,54,88,87,6,28,47,68,10,55
93,10,14,34,88,69,55,1,52,63
89,26,20,3,4,19,30,99,91,96
6,22,24,82,84,100,31,54,59,0
36,3,78,100,63,40,43,57,6,55
47,3,8,44,23,40,32,19,40,100
71,97,68,56,82,53,37,69,70,7
89,7,83,50,63,59,10,0,28,41
27,74,73,55,43,3,6,43,64,33
0,19,94,47,13,69,85,96,50,34
57,94,76,35,83,22,63,34,14,6
43,4,14,76,98,49,26,81,43,31
24,93,46,65,74,92,54,67,80,52
25,1,27,9,3,52,89,94,34,22
82,16,21,24,84,76,76,58,1,56
96,44,72,52,3,91,80,39,93,73
0,37,79,38,4,43,73,37,15,45
77,52,81,72,62,58,29,93,84,17
99,63,85,22,21,14,84,7,66,25
10,90,83,91,98,33,87,79,36,66
41,14,95,61,67,26,10,74,6,5
31,94,63,25,47,43,36,29,99,90
76,80,13,9,87,80,37,76,56,92
44,53,79,70,88,77,0,99,26,38
48,94,97,11,84,41,56,65,95,85
82,62,27,38,14,26,71,79,34,41
96,76,29,99,64,53,79,95,1,39
49,37,98,49,35,25,31,74,28,95
56,76,61,26,44,64,17,70,46,31
44,8,2,17,7,33,78,93,82,27
37,1,57,45,50,0,11,17,80,90
45,55,3,87,3,47,63,65,2,1
0,99,38,53,59,72,18,18,50,46
75,87,48,20,35,16,3,75,62,99
63,3,12,93,60,89,9,88,33,17
49,76,94,67,24,61,49,43,53,48
39,99,84,71,19,73,60,66,25,47
36,87,7,40,78,3,27,95,13,69
91,57,36,14,87,48,39,21,62,79
17,31,30,95,81,9,69,1,90,57
52,17,77,20,27,44,51,86,35,1
86,16,70,55,93,44,18,70,14,5
27,100,76,22,44,39,12,84,80,39
49,89,23,29,71,76,51,73,27,27
66,83,12,29,69,33,61,95,13,45
35,100,32,32,31,1,44,21,7,23
10,16,75,46,1,72,95,88,83,76
60,86,91,47,68,81,49,18,94,8
74,17,12,10,28,94,76,1,8,44
16,23,98,6,40,65,8,74,58,21
42,10,19,14,56,10,74,71,4,100
100,8,30,2,23,59,0,47,76,35
23,27,61,17,34,51,67,18,62,51
52,11,19,67,81,27,18,57,73,46
15,25,66,18,71,46,17,88,12,56
46,52,58,50,46,9,9,3,68,64
27,81,95,92,12,29,69,43,18,53
21,70,19,73,18,28,27,38,99,61
91,16,50,48,38,42,54,19,99,2
56,23,21,73,66,33,73,16,35,93
14,73,85,55,89,90,74,68,10,89
6,38,66,41,5,27,23,76,40,85
30,94,7,38,98,26,13,60,27,92
30,98,98,78,86,36,54,2,61,1
12,4,52,64,59,68,2,40,25,1
30,18,82,56,23,56,59,87,82,82
33,22,49,27,47,34,84,98,86,20
68,4,77,68,18,34,30,4,93,23
13,46,5,33,85,0,32,29,8,83
12,84,94,16,46,75,24,73,90,86
26,26,14,66,81,89,9,54,72,21
18,94,67,82,45,30,26,84,78,56
75,70,88,57,10,39,61,21,69,8
8,9,32,39,75,68,27,59,60,43
93,56,20,33,97,95,4,55,2,89
45,47,95,20,77,20,84,91,65,60
77,91,23,97,87,20,36,54,79,66
88,84,31,24,38,52,25,41,77,13
86,56,52,28,97,90,2,9,18,27
42,61,63,30,69,89,28,90,66,86
66,23,78,34,78,58,83,37,52,71
60,17,12,5,14,21,10,43,16,13
46,70,41,92,78,67,43,66,97,44
81,37,40,68,94,99,24,98,98,53
65,15,67,69,35,22,100,83,20,61
84,32,62,91,22,13,13,61,92,22
74,49,21,65,19,1,4,54,32,82
82,20,90,48,67,76,37,93,50,4
4,21,93,80,9,17,2,64,1,75
21,50,21,21,30,51,95,41,16,19
97,15,22,61,20,71,79,85,14,13
53,40,29,56,76,41,0,52,37,48
26,77,52,48,42,6,31,33,66,13
54,33,25,33,4,52,57,82,0,21
3,0,7,50,75,7,9,62,12,56
76,59,48,96,18,74,88,31,13,32
21,54,95,25,42,82,15,68,28,76
54,22,3,27,13,14,30,14,16,11
61,46,52,64,9,86,53,99,67,15
79,96,49,55,94,90,66,23,33,45
9,35,28,22,2,36,13,60,37,1
2,46,47,2,22,48,51,17,67,76
50,33,18,4,44,80,93,69,12,61
68,90,23,79,9,54,26,86,65,7
3,20,10,24,91,7,52,16,31,32
29,63,69,18,43,3,21,67,80,87
63,63,50,18,51,72,94,38,71,18
74,15,92,53,69,33,66,30,92,17
44,12,60,65,52,91,23,94,78,24
74,84,52,50,73,85,38,66,84,89
34,78,45,45,93,64,68,19,60,67
81,82,53,0,61,99,87,15,1,17
30,99,28,93,28,43,36,36,71,70
49,33,69,14,75,52,78,10,94,7
13,38,85,2,40,30,20,59,56,64
9,97,35,87,48,39,95,54,34,24
92,37,65,2,94,17,44,9,9,6
38,97,87,83,86,68,28,73,15,26
46,74,93,87,59,80,51,59,46,71
34,69,30,10,14,80,3,49,82,59
15,91,78,78,91,73,65,70,77,92
7,30,44,44,65,23,63,16,9,27
45,34,82,62,90,11,35,19,32,0
69,27,86,17,52,97,80,12,80,46
59,39,76,38,24,22,86,8,18,38
16,92,47,21,89,20,8,13,48,59
23,49,16,18,9,3,28,38,62,91
77,86,26,60,84,1,34,88,9,4
100,14,30,84,11,80,67,21,1,15
75,3,87,94,81,65,47,3,96,78
96,34,98,81,76,61,74,20,5,17
44,82,8,67,60,28,61,51,21,78
29,92,90,83,77,75,37,92,54,77
89,30,54,8,23,96,58,91,59,57
28,91,95,33,19,89,36,89,9,93
85,79,44,61,29,50,57,93,22,55
71,49,67,1,83,89,37,10,96,66
47,61,78,84,81,47,24,39,51,46
18,56,98,90,61,3,81,46,61,100
21,30,12,90,42,97,84,31,75,0
30,91,51,40,74,69,3,52,81,30
42,62,47,21,9,2,85,85,70,69
79,31,33,28,47,93,79,45,69,80
87,75,46,80,30,87,57,8,52,46
95,58,84,4,12,38,24,90,63,63
4,67,57,29,95,14,43,21,84,46
40,27,60,43,51,59,97,23,13,85
3,56,38,40,83,54,60,25,76,7
65,73,24,99,66,15,60,25,27,7
80,67,95,59,26,62,88,0,3,40
21,26,35,9,10,70,81,96,31,30
74,67,23,84,61,18,13,35,25,38
74,58,22,53,86,43,32,75,84,100
14,24,49,50,36,29,21,35,91,96
98,62,29,5,86,85,77,17,45,56
7,65,44,36,54,72,45,72,76,24
56,61,0,28,31,40,82,24,39,52
47,21,49,100,49,38,58,31,26,64
75,9,40,82,53,35,96,18,69,94
88,76,15,35,76,6,49,55,37,81
77,20,44,72,50,89,56,39,87,51
21,95,40,70,98,77,56,5,92,89
12,99,38,25,73,41,45,90,14,93
72,7,30,94,37,14,68,77,40,11
3,96,91,34,34,46,96,73,31,97
62,53,0,88,32,0,9,36,74,7
46,94,9,44,88,28,79,98,17,47
10,0,33,20,39,75,30,75,78,16
12,42,17,45,32,3,26,4,54,43
62,44,1,6,7,31,32,86,78,15
33,51,69,33,70,23,28,18,1,12
75,84,51,31,71,16,72,25,26,94
100,4,60,51,97,96,91,68,11,28
17,12,71,8,78,37,6,70,20,15
11,29,50,6,78,16,96,34,18,53
18,78,2,39,28,18,89,99,35,57
2,52,19,69,79,49,45,50,15,78
52,1,82,42,63,68,99,100,46,62
43,43,34,38,80,61,95,78,44,34
64,86,9,85,28,64,33,63,59,18
90,12,50,79,85,2,85,80,60,17
12,71,91,67,85,29,11,77,97,44
95,78,39,90,9,76,35,13,54,77
3,13,18,100,3,3,53,35,51,29
67,87,65,72,65,52,33,50,68,84
69,35,75,68,51,49,80,20,71,40
16,25,5,82,17,66,47,20,70,60
48,11,4,49,69,77,37,66,81,63
93,35,1,34,49,94,20,54,17,5
13,86,11,51,36,54,57,30,33,13
75,0,3,94,94,81,84,40,36,79
83,18,88,77,78,45,83,17,19,48
22,6,97,17,22,6,83,49,32,92
61,73,98,49,17,81,69,92,90,78
62,11,18,20,10,94,41,74,54,82
31,34,55,58,98,18,73,75,51,47
65,28,65,41,31,67,40,26,60,11
52,34,61,71,92,29,72,91,9,67
88,70,87,26,11,70,0,4,15,85
24,91,98,65,1,30,21,29,40,39
40,82,56,18,38,44,63,39,94,36
51,16,89,60,86,66,25,73,4,81
1,18,36,43,31,74,69,19,31,15
63,81,7,84,41,69,66,69,46,44
27,3,30,47,40,49,34,84,30,37
11,11,3,97,34,78,64,84,85,36
36,12,10,93,88,67,10,99,39,34
22,62,48,92,27,23,12,73,28,77
50,0,40,7,47,85,23,10,36,58
33,100,74,20,15,3,89,23,79,6
42,11,64,6,46,30,91,22,10,9
0,17,32,11,46,95,53,34,54,69
90,82,68,99,58,48,92,85,4,85
10,74,89,40,39,85,66,75,34,33
20,46,10,39,23,90,16,1,73,31
46,84,64,99,70,59,75,72,45,13
67,30,80,38,87,9,91,62,43,64
69,2,60,60,42,40,93,10,64,65
79,37,85,12,100,74,85,18,84,48
20,74,31,18,60,100,76,33,17,68
69,42,74,22,7,39,67,82,45,27
1,29,18,54,98,97,24,25,44,61
26,21,58,1,7,56,74,41,83,82
85,18,86,15,2,14,74,44,34,79
66,80,70,18,75,20,6,90,95,40
7,52,60,5,43,16,15,63,93,77
91,15,52,29,51,77,15,90,45,71
98,31,38,22,22,17,6,98,76,42
8,29,1,71,33,33,9,62,74,58
44,18,62,34,81,20,24,77,70,10
19,64,51,29,97,76,59,14,57,83
67,74,55,99,56,98,39,93,63,70
6,30,28,59,11,9,7,63,78,10
15,45,22,37,15,68,8,9,64,32
67,30,8,58,64,22,5,43,87,53
33,10,44,32,28,76,33,83,21,13
72,55,95,43,82,47,60,80,7,47
68,22,27,55,98,90,75,88,8,1
17,33,54,82,4,38,26,55,73,61
37,60,68,19,59,44,85,30,47,90
3,82,57,31,7,47,63,39,92,22
95,8,46,84,62,79,40,49,37,71
17,7,65,45,5,29,16,83,18,6
50,69,35,59,32,16,38,34,23,95
61,58,28,56,70,94,65,62,23,94
95,86,43,86,27,59,53,98,22,26
74,7,33,53,92,33,67,10,93,56
3,20,21,70,30,80,12,86,21,39
66,81,46,46,100,46,57,50,23,98
8,92,83,16,26,25,6,52,25,31
18,14,95,56,59,33,68,41,47,75
50,46,73,63,77,52,67,32,73,81
15,50,23,36,78,69,35,48,54,72
33,36,22,59,44,52,100,70,15,76
98,9,75,25,37,44,15,41,26,13
30,59,87,6,93,30,70,51,99,48
5,44,11,0,95,95,32,9,80,58
8,100,24,77,18,78,26,100,52,43
70,21,13,60,50,11,52,27,5,46
6,48,6,48,5,79,50,89,2,47
61,52,52,40,54,15,3,77,53,41
48,37,48,65,80,92,50,4,79,83
99,37,6,96,42,2,3,35,16,2
60,43,70,92,38,12,52,35,21,89
21,2,20,100,93,75,61,49,7,35
46,4,55,0,3,56,47,24,99,59
91,12,100,33,93,63,23,87,82,78
56,12,36,15,73,92,83,29,100,36
100,75,18,95,25,44,29,94,54,66
66,1,37,79,89,43,8,74,79,93
20,73,82,59,2,36,53,91,44,31
40,54,85,65,56,37,63,25,78,57
