dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10,dimension_11,dimension_12,dimension_13,dimension_14,dimension_15,dimension_16,dimension_17,dimension_18,dimension_19,dimension_20
19,97,13,11,66,9,96,61,57,96,75,96,1,23,19,51,78,47,9,46
47,69,96,54,73,13,29,23,29,16,91,71,53,85,78,98,16,34,63,34
72,34,90,6,45,30,29,30,47,37,28,62,10,24,51,55,85,90,83,70
9,32,95,4,44,73,71,68,60,43,55,18,20,72,79,46,18,92,65,96
100,23,53,2,89,83,60,37,51,37,86,74,38,34,47,81,31,36,14,10
65,12,31,32,56,65,49,22,68,12,6,19,49,55,47,78,53,79,56,80
37,23,21,96,99,21,29,23,66,58,25,74,88,75,14,48,87,86,99,16
45,37,63,23,64,20,77,99,89,43,26,62,19,70,59,20,41,51,92,49
49,72,21,87,62,3,61,86,95,7,73,25,81,67,74,55,48,76,61,45
11,84,82,76,63,66,95,41,18,24,18,8,37,57,15,34,46,95,55,57
57,68,84,23,47,95,83,96,62,60,79,38,67,34,6,17,69,54,68,29
68,12,6,71,94,50,20,86,67,36,10,100,39,54,96,90,63,93,38,34
27,99,79,27,59,20,19,64,11,30,68,9,9,81,72,85,81,58,21,39
18,49,41,92,77,16,62,38,22,46,27,96,39,74,4,2,19,26,20,73
39,83,70,81,45,6,43,21,5,52,86,26,19,14,32,25,49,98,93,80
18,75,11,84,58,79,12,3,17,92,49,89,67,98,17,60,91,45,22,93
44,14,55,20,42,93,56,43,37,18,58,7,48,19,25,91,86,39,93,2
7,85,68,43,67,71,50,56,89,33,83,23,36,93,34,86,49,20,61,46
79,8,69,100,28,86,65,53,91,99,32,1,27,74,78,21,41,60,67,99
17,89,60,10,89,46,60,52,80,7,77,21,77,59,24,63,38,25,48,33
27,50,85,91,88,71,49,3,42,50,37,11,50,87,51,81,82,80,41,93
9,46,72,20,36,75,68,0,77,2,99,61,41,63,87,47,72,34,95,93
24,91,55,1,59,33,68,98,82,34,70,60,32,55,57,8,92,83,96,9
22,72,41,48,79,76,58,51,76,45,85,74,40,84,44,1,40,93,28,33
68,29,69,31,33,81,21,47,0,86,3,89,28,53,77,29,49,67,94,70
61,41,44,61,31,40,97,89,34,71,95,20,65,30,63,46,42,52,18,48
88,14,92,99,53,69,0,13,69,13,17,18,19,30,45,38,10,88,68,12
82,65,82,37,6,59,48,14,48,12,95,0,51,21,10,22,91,24,88,94
3,45,17,22,14,67,100,96,67,11,14,99,47,23,99,3,84,9,20,53
30,18,61,44,71,72,15,2,92,38,84,24,91,20,82,13,17,18,0,66
18,18,99,91,2,65,59,80,2,48,55,94,62,14,74,9,85,98,48,87
8,20,62,77,4,69,82,10,14,11,19,97,49,22,70,90,72,16,26,28
90,72,18,92,77,90,53,19,40,97,88,32,42,38,33,58,18,87,23,78
0,97,7,86,21,17,70,22,5,45,2,49,88,21,91,67,90,40,27,95
11,33,98,35,97,34,49,74,90,36,42,68,18,59,27,92,3,84,3,52
56,80,23,68,0,67,89,10,20,60,92,20,93,91,40,38,80,36,100,37
70,30,42,60,77,100,15,58,50,87,80,31,82,3,76,83,96,45,97,3
49,33,18,71,75,86,16,38,73,92,89,78,50,12,39,29,55,0,25,55
91,22,89,88,55,77,83,94,68,55,87,69,68,40,28,57,31,31,75,10
26,79,45,73,5,27,55,8,50,55,46,67,59,7,61,21,56,61,31,68
88,60,51,59,91,68,21,50,88,6,11,13,3,46,53,65,14,13,47,34
22,92,72,33,87,25,80,67,21,26,59,53,70,76,61,19,40,27,91,74
53,25,36,78,80,40,23,29,17,58,5,80,81,89,67,91,5,27,20,4
46,37,89,36,98,44,32,92,88,79,19,100,23,94,100,76,32,91,16,96
85,59,11,16,29,38,14,56,29,48,79,27,79,92,74,89,12,5,79,32
21,69,53,47,81,18,26,100,26,59,55,38,69,19,43,89,22,87,73,30
71,76,56,47,2,90,17,51,29,80,4,44,25,85,82,85,88,73,0,13
47,58,33,71,33,14,59,95,64,99,36,87,69,9,0,59,77,72,63,69
53,56,100,27,27,98,78,16,79,41,99,36,81,81,61,63,74,47,70,34
43,52,56,93,4,64,99,15,100,78,74,90,26,39,41,5,87,98,48,60
44,64,56,84,78,32,16,76,45,89,0,0,34,29,90,50,25,80,9,3
41,84,72,6,35,85,54,46,60,17,85,18,55,26,31,40,32,38,10,51
97,58,40,17,36,18,83,8,61,92,40,87,61,76,18,15,28,47,16,14
88,16,24,8,52,78,29,67,61,66,38,18,23,1,21,97,37,81,81,43
68,79,29,13,30,40,32,48,66,24,24,30,35,55,4,65,46,17,66,28
58,57,26,48,98,24,58,95,92,95,21,92,29,80,50,36,49,9,2,73
78,83,44,43,18,23,1,16,59,47,53,0,40,64,94,7,72,5,38,25
35,58,30,44,41,40,59,97,3,49,3,69,76,85,96,16,55,81,94,17
16,99,74,35,50,85,19,55,42,81,73,93,47,91,31,35,41,53,89,62
29,88,84,67,63,81,74,16,65,80,100,59,40,10,60,6,97,68,54,4
25,76,24,28,81,58,52,95,82,76,54,100,21,76,52,95,91,3,51,69
17,97,73,33,72,82,56,47,56,23,72,29,42,0,49,70,75,3,32,80
33,77,63,86,47,99,98,27,57,96,7,69,25,12,4,77,90,91,83,21
10,50,48,71,29,78,54,58,83,89,27,100,4,98,58,54,46,15,28,29
50,85,42,53,26,64,26,0,22,33,2,7,8,75,67,0,10,5,37,18
97,71,5,13,96,21,70,62,81,48,9,53,36,6,69,70,66,65,52,14
15,2,75,40,76,51,3,61,21,20,63,29,13,7,59,3,92,16,73,34
41,71,1,6,49,38,0,60,15,81,15,4,48,32,8,37,39,41,56,96
2,33,52,17,15,99,39,14,0,14,47,46,63,97,39,85,75,7,61,60
95,49,12,14,41,99,10,21,3,31,65,51,48,22,86,46,85,77,22,49
40,50,64,51,26,30,69,29,84,12,39,21,55,97,4,88,38,40,58,91
80,30,93,68,1,58,97,31,55,66,94,95,84,5,25,78,85,23,90,87
50,29,36,6,80,73,48,57,72,90,92,15,14,16,8,84,31,26,72,35
36,22,44,89,79,79,26,57,54,51,52,65,48,48,55,24,94,65,26,48
53,91,83,90,46,61,44,11,39,22,69,2,12,82,93,39,58,30,96,45
28,35,52,14,36,28,62,21,15,60,68,95,72,25,52,10,88,99,26,22
51,31,10,18,86,43,68,62,32,84,30,49,26,14,6,15,31,51,87,65
39,81,67,18,56,12,18,92,52,9,89,17,19,49,23,20,24,99,26,42
24,59,89,31,36,60,42,76,43,46,47,6,23,73,60,44,3,25,52,34
92,20,95,19,98,35,1,2,39,19,22,46,25,36,10,79,60,61,20,99
64,24,54,75,96,2,12,69,91,2,41,32,83,6,18,52,51,83,45,60
4,34,100,11,84,19,0,30,75,84,80,56,13,40,5,71,18,20,31,66
43,62,64,57,8,71,40,40,79,49,88,46,39,77,96,32,26,14,15,25
97,31,64,27,77,12,79,91,11,51,10,39,70,47,4,73,13,32,37,72
15,38,95,68,89,2,78,19,30,71,48,9,42,8,54,36,63,64,52,69
63,59,5,31,36,66,17,88,68,43,36,16,2,19,22,94,36,94,82,16
65,76,16,92,68,90,55,77,42,63,86,86,90,12,33,49,45,3,97,97
79,84,75,72,50,7,25,28,14,25,69,95,42,9,38,43,75,16,40,49
59,82,30,70,99,93,1,93,64,18,77,54,55,52,19,63,48,79,10,73
80,85,81,63,12,50,85,68,97,0,6,13,1,15,4,38,95,41,38,93
21,27,12,31,48,14,69,7,29,92,100,69,64,41,7,43,67,62,68,96
61,9,2,61,66,94,27,70,35,2,49,66,75,11,71,15,95,29,57,74
55,37,36,47,88,57,85,59,50,98,67,39,76,84,45,100,39,84,48,86
28,63,65,1,97,59,94,25,53,28,57,51,53,14,72,54,51,97,9,24
59,99,70,87,86,6,12,64,65,100,5,56,100,64,65,68,69,74,17,11
1,42,22,91,99,32,52,26,20,81,19,87,21,99,16,2,89,69,26,6
67,3,35,79,53,5,27,54,41,29,83,11,47,36,31,43,39,25,49,80
52,60,49,80,41,87,60,45,89,87,28,60,46,33,77,3,22,42,24,26
4,51,44,76,27,45,28,47,33,15,8,5,74,68,91,49,35,66,86,17
97,38,35,8,86,72,81,81,28,97,18,14,46,10,53,88,29,71,47,5
40,16,67,19,48,33,37,75,100,37,5,59,79,22,59,57,14,19,45,95
43,6,72,16,12,97,50,34,63,25,76,89,98,35,57,92,83,71,23,38
92,57,23,35,54,32,17,17,80,97,99,20,85,62,63,19,31,30,88,43
10,63,15,29,99,64,98,47,5,16,37,47,22,41,41,87,80,88,59,44
88,15,36,80,52,17,29,44,100,28,96,55,15,83,43,50,27,40,98,1
88,3,12,42,32,69,95,18,30,21,26,61,87,39,91,64,75,99,6,67
28,79,35,72,35,73,56,81,31,73,22,69,72,51,81,76,6,85,54,10
83,22,21,82,97,56,56,49,88,11,95,30,19,28,19,27,48,74,89,98
26,39,47,89,11,70,58,40,74,29,3,2,57,20,43,90,97,68,63,5
16,60,34,8,52,95,0,55,89,69,96,53,49,44,88,74,54,81,59,55
86,38,3,10,19,96,39,70,67,12,59,86,21,4,69,40,16,73,61,72
38,90,26,49,42,51,78,97,94,49,0,37,9,25,38,37,51,3,28,82
0,34,27,61,82,22,22,50,42,54,83,91,6,5,20,50,38,47,63,37
53,41,94,70,53,3,95,18,19,57,31,72,10,60,19,82,77,62,46,85
39,85,69,11,16,94,67,93,100,1,23,12,57,83,55,56,71,62,24,51
10,21,40,14,34,24,62,40,88,37,79,8,37,82,17,63,95,88,59,36
65,5,28,44,84,46,77,16,94,13,65,28,25,13,76,26,10,20,73,22
50,1,65,71,55,83,26,43,20,61,86,1,84,63,74,70,37,80,19,99
67,0,15,3,25,77,38,86,50,22,93,2,27,53,14,37,36,95,25,24
55,91,100,29,34,57,24,52,7,39,91,40,93,38,83,31,80,69,18,47
28,12,11,42,63,37,22,51,67,47,71,37,58,86,71,47,50,38,13,86
99,84,80,86,80,32,60,71,23,14,66,9,4,51,6,34,26,81,25,25
59,92,76,70,91,87,93,6,4,74,86,3,93,0,34,15,70,41,97,70
52,58,65,59,18,42,19,79,77,81,62,29,31,4,28,65,83,26,90,74
62,5,63,3,44,84,94,88,85,95,68,60,62,46,63,49,26,94,52,6
69,51,36,64,35,8,94,1,5,27,74,6,32,95,52,52,20,61,28,89
95,41,68,20,33,42,28,79,44,94,99,72,17,62,72,21,49,19,72,64
29,33,8,8,76,2,58,99,83,19,79,40,37,42,90,9,58,6,63,88
63,52,41,71,86,34,36,45,14,28,83,85,33,60,59,98,42,58,90,67
31,48,61,30,3,47,66,26,99,66,20,83,27,72,43,83,75,53,21,34
24,39,81,5,40,72,32,53,66,35,61,98,88,63,44,62,53,73,85,87
88,21,22,24,63,42,29,26,61,96,11,99,3,28,7,41,64,68,3,29
10,62,26,77,51,46,98,7,59,63,25,25,40,52,6,30,57,2,55,68
82,11,11,85,20,41,100,37,74,95,32,23,9,86,26,82,52,9,88,43
50,49,12,99,73,19,76,10,100,5,100,20,28,58,99,4,44,36,0,78
14,21,34,54,25,50,48,49,13,19,43,12,21,24,91,7,24,99,36,3
40,62,99,31,61,52,82,79,66,95,77,41,88,94,18,13,84,33,82,15
24,7,35,39,15,80,57,15,95,15,15,32,20,27,22,48,14,53,35,19
99,24,40,92,44,23,14,55,41,90,6,22,58,88,56,80,26,65,75,97
59,47,62,71,30,16,3,83,97,40,68,80,88,37,22,73,49,62,21,87
90,18,25,1,83,43,77,89,27,69,55,99,83,56,12,61,91,93,61,61
22,65,38,50,67,21,90,44,67,34,95,12,7,12,59,48,21,69,32,7
14,43,55,83,53,76,60,14,37,97,77,13,0,27,100,60,22,84,48,52
27,87,97,67,74,4,0,34,18,96,94,50,58,8,96,77,94,77,15,75
74,14,100,98,90,100,55,74,36,12,11,75,50,16,11,91,29,10,85,65
81,34,68,29,78,36,16,85,57,16,60,97,77,51,67,54,90,26,8,98
95,71,35,45,88,12,100,91,86,94,15,41,81,46,58,26,94,60,12,11
19,95,8,51,85,58,72,46,33,41,55,98,99,38,23,36,60,13,97,10
30,57,28,95,10,16,13,21,69,53,77,17,64,51,11,20,45,50,100,93
94,26,52,92,21,61,36,62,57,78,96,62,45,1,89,67,46,22,31,0
85,1,11,65,38,55,39,84,81,33,21,6,73,13,74,52,29,1,40,0
100,81,92,70,11,97,65,55,19,53,99,92,91,86,56,31,57,55,69,51
13,45,20,99,67,5,79,42,69,71,14,90,99,57,47,73,91,46,26,14
85,79,37,3,47,69,60,36,43,67,84,18,84,54,38,94,62,83,46,19
46,2,91,45,6,46,70,17,15,65,89,10,52,4,85,91,27,89,69,15
93,68,86,43,38,12,11,56,13,68,76,10,38,75,93,4,75,81,37,64
46,100,93,22,87,34,35,0,57,9,72,57,43,76,87,65,21,72,67,49
29,54,69,97,74,64,82,63,66,72,77,33,64,78,19,64,34,48,38,28
34,26,11,25,58,49,82,9,78,65,83,23,5,7,45,60,20,27,40,30
77,50,66,13,45,9,17,20,81,100,0,6,59,96,1,11,38,18,64,64
31,63,93,50,46,81,36,57,46,4,46,70,70,85,43,7,87,23,8,63
33,34,40,83,29,38,1,90,79,9,56,5,55,79,36,23,48,23,47,33
70,82,25,92,69,84,0,30,95,45,56,52,67,24,16,89,60,20,81,83
52,18,57,79,60,53,56,40,3,14,50,55,38,76,63,72,39,5,27,3
9,9,11,0,41,28,20,43,63,80,37,3,62,28,90,51,60,17,14,29
23,22,39,22,31,25,22,95,83,3,93,82,37,99,42,50,90,26,95,56
15,92,9,60,61,91,27,36,32,64,77,16,82,74,83,6,97,76,16,68
50,24,37,39,53,96,12,47,28,99,54,97,65,57,0,5,16,16,67,40
70,40,39,85,79,85,90,18,8,88,47,6,95,50,94,50,10,81,63,33
20,69,11,16,72,36,91,70,46,39,91,99,34,18,21,13,57,99,58,99
58,45,8,7,25,65,42,42,66,52,1,91,67,67,69,36,12,73,23,12
39,14,35,44,26,85,46,66,30,45,58,53,78,7,25,92,86,71,89,52
11,74,12,89,41,17,79,100,100,12,65,53,71,39,63,60,1,82,63,57
94,53,44,18,67,15,75,95,55,70,64,70,16,77,7,61,38,100,3,85
69,93,6,79,15,19,49,84,97,5,81,10,89,24,89,97,11,95,39,18
49,42,40,59,55,83,73,60,27,54,47,51,60,81,66,72,51,100,61,58
48,49,33,60,30,62,83,23,94,77,47,13,17,38,56,63,37,21,86,89
65,80,25,60,34,65,13,58,26,18,74,69,83,94,2,59,52,44,94,30
12,60,8,60,62,0,55,70,83,44,6,100,56,23,51,95,93,25,22,8
80,41,89,3,14,2,11,83,46,78,3,44,5,54,76,12,60,84,89,77
80,93,7,56,1,17,21,63,96,2,91,97,9,13,79,13,16,73,9,89
67,67,25,15,47,93,63,69,43,28,46,90,40,67,71,43,83,36,40,2
12,52,58,32,84,61,85,35,60,98,19,60,33,33,9,20,77,13,50,23
29,75,75,44,26,76,17,10,61,22,23,76,1,3,89,15,10,93,87,53
72,38,71,98,96,67,40,46,2,85,0,25,37,60,0,14,53,51,44,53
15,18,46,68,79,7,3,69,67,58,11,5,16,62,39,94,5,10,46,97
37,62,32,59,31,63,59,88,19,33,92,86,92,26,75,92,82,54,35,30
5,38,62,23,88,16,15,58,42,34,10,84,10,59,12,68,86,55,85,11
64,24,70,12,20,80,93,22,14,98,94,30,87,38,0,98,52,86,7,28
15,14,9,66,100,92,81,4,26,96,90,75,30,15,3,8,30,6,30,74
99,42,48,77,35,60,68,61,88,29,52,25,53,1,10,25,23,62,19,59
63,63,78,79,13,64,14,31,72,83,91,2,81,70,69,93,91,7,30,52
97,67,41,44,8,11,69,11,29,14,7,37,0,68,79,48,99,85,48,78
24,80,93,86,7,15,84,79,98,71,67,67,72,14,33,6,71,14,63,34
68,41,13,34,43,74,8,25,83,68,75,23,43,51,7,69,31,80,17,35
37,82,28,95,68,84,50,15,28,12,74,5,76,55,55,81,0,66,80,27
43,10,45,1,24,40,84,76,94,51,85,97,17,25,25,63,61,5,66,62
82,13,91,57,88,53,1,54,91,55,46,60,41,59,100,69,8,85,49,65
35,5,6,52,86,97,73,1,79,61,88,74,21,41,71,87,46,79,84,59
82,69,1,48,21,97,77,43,77,83,85,3,94,37,66,37,50,16,69,16
27,54,89,92,61,65,84,0,49,48,97,40,3,74,71,68,20,51,48,6
85,88,51,96,80,9,57,46,38,59,75,44,88,28,49,0,39,12,81,7
13,99,30,84,49,92,51,18,43,100,23,46,17,8,47,51,40,44,19,27
48,71,50,65,21,63,5,70,22,10,25,33,48,69,39,87,20,60,59,27
57,83,74,100,64,25,24,25,99,49,100,63,14,1,21,26,88,81,69,93
55,46,43,40,90,0,79,84,16,13,49,20,51,16,35,35,43,47,61,32
32,79,66,82,77,55,98,15,20,63,7,15,62,82,23,69,70,60,98,50
90,74,40,21,100,57,72,54,64,98,72,63,63,91,8,46,36,92,72,7
66,43,25,46,31,100,56,9,66,100,46,85,75,53,52,3,14,5,81,49
2,73,68,64,21,13,1,84,11,17,97,97,62,52,17,80,60,54,98,1
17,80,81,21,64,80,78,69,21,83,15,82,46,97,69,66,94,35,55,84
51,72,35,62,21,66,89,4,40,51,31,3,79,61,20,15,88,38,10,19
8,18,49,88,86,29,39,83,10,22,5,40,48,52,44,57,66,59,81,27
14,72,48,18,77,20,22,69,16,54,52,66,8,80,54,81,57,21,15,79
40,6,3,10,57,26,74,88,54,65,97,60,25,77,98,0,69,1,8,80
89,38,94,73,78,75,81,68,25,88,57,61,67,64,30,5,0,6,95,77
95,96,13,71,52,13,84,36,42,45,85,64,80,27,95,61,24,83,73,52
52,82,72,24,81,47,21,95,23,38,93,15,93,27,27,29,62,52,15,98
47,64,49,89,83,32,31,15,70,91,22,65,72,64,29,67,87,82,1,57
24,41,3,27,25,86,41,100,76,59,74,83,20,42,60,47,75,7,17,0
95,16,69,87,55,42,56,51,53,85,62,96,25,54,26,30,64,1,52,98
90,73,40,50,4,66,76,45,8,76,49,81,21,40,92,87,81,97,71,82
32,70,55,70,91,91,54,32,5,62,13,43,43,85,38,63,30,43,35,5
63,96,51,92,12,33,12,89,1,66,68,4,66,77,5,94,80,57,45,31
7,66,78,77,4,76,11,9,20,22,27,44,16,79,44,15,19,68,28,54
62,69,65,77,63,5,66,61,52,17,87,69,75,59,71,96,76,22,49,82
100,4,35,58,47,16,65,11,81,93,18,45,39,83,95,77,18,52,80,0
14,31,43,68,68,74,24,94,72,41,13,82,18,71,96,9,37,38,77,79
19,44,26,24,19,96,92,99,91,93,24,23,75,26,88,16,100,58,68,20
96,99,48,60,64,92,33,48,25,40,69,50,73,76,71,23,32,9,74,67
7,70,69,87,86,74,32,71,32,47,44,24,10,71,1,99,24,26,63,17
27,19,75,72,8,34,36,92,62,96,72,41,1,43,64,94,6,99,59,30
14,99,0,9,42,55,4,35,8,70,35,80,14,29,70,58,52,84,28,10
30,6,71,100,63,3,97,97,21,82,21,23,24,14,59,38,73,67,27,62
100,3,91,84,9,55,98,76,17,76,48,76,39,18,43,29,81,95,77,63
89,53,5,47,5,30,41,33,0,21,74,5,48,39,1,1,26,17,87,67
38,46,82,54,74,55,2,86,95,21,3,79,3,19,10,54,80,25,18,0
47,12,77,33,7,62,49,49,19,36,71,33,42,75,37,98,65,71,19,93
65,11,90,34,0,21,65,30,87,96,64,8,46,33,75,35,71,22,5,29
61,82,55,82,56,62,38,46,38,6,53,8,96,92,98,85,78,34,54,27
39,78,46,59,68,14,29,10,60,85,1,71,13,71,51,17,51,98,32,100
54,50,11,29,1,51,99,10,53,63,47,42,15,38,4,4,60,52,86,51
70,32,84,16,96,46,76,33,87,78,33,70,72,72,1,68,34,12,28,93
13,16,34,40,40,16,9,60,77,47,82,63,16,79,39,39,9,6,41,93
5,58,60,19,80,92,50,91,14,15,34,5,15,34,42,11,23,93,85,6
88,59,54,13,83,70,34,52,26,4,40,19,16,97,27,58,33,27,21,84
61,14,54,40,76,9,72,90,40,54,51,73,37,83,5,35,41,50,34,80
2,40,28,80,92,90,45,50,14,38,80,15,86,32,69,32,84,69,83,14
62,25,71,5,81,41,5,39,7,54,69,71,76,75,78,80,62,6,58,9
92,24,52,36,53,67,82,54,77,46,61,10,54,9,75,28,13,57,84,25
98,60,85,53,5,29,6,75,55,4,69,28,48,79,53,36,3,74,95,28
58,12,63,26,96,49,67,6,55,97,58,75,89,22,8,98,63,43,94,85
58,4,62,61,22,73,88,13,22,15,61,64,20,1,5,54,47,22,13,6
98,77,63,62,64,38,78,14,49,6,99,60,31,44,51,59,40,54,53,31
49,71,63,14,1,47,21,96,99,82,68,19,2,28,16,55,94,5,26,30
20,32,94,31,74,41,96,58,57,40,89,98,89,49,9,25,19,95,64,73
88,38,57,41,19,77,92,62,13,86,78,65,23,2,2,74,61,32,39,8
17,10,11,17,85,16,27,77,62,100,0,21,63,94,24,78,80,24,62,24
46,6,29,20,53,28,65,18,23,67,17,78,74,75,12,35,2,81,10,89
4,72,46,97,74,38,17,11,86,8,3,34,92,78,64,3,6,55,74,7
45,44,40,72,39,86,65,20,25,90,77,60,9,4,42,77,6,74,76,36
2,52,28,23,47,5,4,59,11,4,58,25,91,46,66,77,84,32,51,68
20,24,10,61,49,39,8,12,70,15,92,32,87,5,42,60,97,40,94,93
63,71,6,69,25,28,41,28,79,30,86,12,75,18,96,12,50,66,2,90
71,92,72,53,21,43,64,6,51,9,15,2,91,51,35,90,49,88,90,66
53,87,21,46,2,68,35,22,83,73,17,1,65,72,29,97,67,34,48,76
57,51,42,79,13,58,27,23,50,78,11,37,5,75,25,58,50,18,9,28
17,2,83,26,3,91,33,89,56,45,58,99,79,26,64,75,20,16,40,43
3,1,18,65,6,60,21,45,83,67,91,43,47,36,21,78,31,69,75,21
66,93,14,32,51,13,74,22,30,99,25,99,46,73,86,23,74,65,85,72
93,2,21,63,29,41,53,98,91,70,68,17,17,71,8,58,47,22,77,35
14,100,32,85,70,82,27,13,75,60,31,36,7,84,29,42,66,45,43,99
52,68,6,18,71,92,4,69,29,81,75,50,75,18,82,57,69,54,1,51
67,23,91,31,8,96,82,17,40,71,14,44,50,95,3,97,14,64,53,80
8,97,51,51,98,84,98,75,71,46,7,0,44,25,12,80,38,9,49,12
27,15,76,18,84,85,69,72,16,17,24,97,22,44,72,32,64,13,100,95
7,64,16,68,45,41,80,18,24,20,50,60,100,37,48,34,100,99,65,68
71,64,27,77,90,63,22,72,34,33,12,1,73,78,20,23,47,93,49,34
54,66,35,76,56,65,65,94,14,4,17,27,35,68,32,11,65,19,94,61
47,53,50,4,55,14,48,72,39,37,53,81,19,42,37,79,47,27,92,54
91,93,21,83,60,91,53,21,73,38,2,2,56,68,31,89,97,49,99,51
25,89,78,80,75,98,53,82,63,43,3,5,1,90,66,18,86,99,2,64
57,79,18,65,50,93,98,48,90,9,65,9,73,83,6,88,31,59,97,7
6,80,37,82,99,96,31,49,66,89,30,25,91,33,62,72,59,34,23,5
21,39,42,79,45,29,40,94,87,92,72,83,44,96,34,97,49,26,76,47
44,11,9,65,94,24,68,82,18,99,43,13,31,37,1,89,66,1,5,41
12,49,35,2,19,100,7,40,15,49,86,75,87,42,68,80,53,72,91,34
44,78,75,69,41,57,63,2,6,81,51,4,31,50,2,60,80,37,39,25
77,43,44,14,82,26,28,96,74,98,50,98,65,4,51,100,77,91,87,75
73,18,37,28,77,71,92,77,36,86,75,87,39,19,48,42,37,71,25,33
31,35,15,39,55,54,22,21,95,69,4,23,74,58,79,70,70,40,72,16
75,57,57,60,54,90,90,0,73,13,61,54,65,78,97,22,56,48,67,50
96,72,88,73,44,36,33,91,30,98,50,19,99,56,83,11,100,57,56,4
69,40,68,47,56,55,48,64,0,15,59,93,55,36,64,17,90,99,51,62
37,72,95,56,29,77,68,44,89,9,36,75,18,49,68,81,52,0,56,53
100,89,76,16,74,38,65,25,99,41,99,39,66,0,47,23,15,86,12,9
6,86,25,69,33,34,95,82,70,52,48,13,93,8,7,8,62,75,78,30
92,68,58,25,23,76,92,24,77,55,15,78,23,71,81,22,88,14,52,89
13,95,6,45,9,37,30,60,72,33,97,82,59,49,13,85,26,62,70,9
32,52,18,5,6,34,45,63,94,81,17,10,63,61,83,71,74,38,37,85
27,63,28,32,81,25,74,27,72,2,24,81,96,50,19,69,95,67,50,10
0,44,93,45,9,51,74,60,51,29,68,76,56,57,38,72,51,56,93,100
35,44,100,2,24,81,63,2,34,10,67,80,81,55,29,87,96,15,45,1
30,40,15,65,36,45,54,37,29,51,67,83,27,94,54,88,35,60,68,85
78,86,75,27,32,49,32,76,33,49,21,75,97,31,53,39,26,97,100,90
13,43,62,87,19,48,70,81,36,50,93,35,24,93,41,52,61,91,95,14
69,70,64,1,96,91,23,11,15,11,41,94,90,89,64,53,13,12,15,10
70,23,16,21,49,26,54,25,25,62,95,46,18,47,23,8,14,14,85,89
95,57,24,2,20,14,8,16,15,25,42,80,68,95,66,98,50,98,31,22
97,81,56,43,93,35,5,91,4,48,35,59,70,22,80,5,64,87,7,63
36,44,52,54,22,49,18,100,96,30,47,78,79,51,10,75,78,24,94,78
31,84,43,32,84,30,3,23,98,51,97,80,30,70,78,42,13,68,90,70
61,1,64,65,30,22,23,72,26,88,72,60,91,33,59,61,71,46,71,39
53,7,59,58,75,92,89,41,16,64,61,13,35,38,5,48,20,65,40,93
22,27,20,17,19,55,94,84,22,53,22,0,13,91,43,82,13,96,46,18
81,26,84,62,88,1,69,3,34,63,36,14,13,77,37,0,58,57,27,27
71,3,20,64,20,16,45,86,68,6,44,67,66,7,19,71,92,51,0,50
55,28,7,35,71,22,56,23,37,54,80,85,41,93,34,69,100,19,51,100
