dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10,dimension_11,dimension_12,dimension_13,dimension_14,dimension_15,dimension_16,dimension_17,dimension_18,dimension_19,dimension_20
3,30,45,54,97,4,58,39,92,55,84,79,15,1,13,19,66,73,73,39
51,50,79,41,56,35,97,31,90,91,23,18,11,41,42,12,21,8,67,81
12,76,37,1,90,79,67,78,41,54,52,94,32,46,54,76,96,57,70,93
79,82,16,22,19,11,64,47,34,63,20,5,98,82,38,14,61,93,69,48
45,10,53,41,43,20,9,35,78,77,16,54,36,90,38,99,69,56,22,97
15,3,68,49,45,16,35,19,27,25,79,30,79,57,75,79,50,71,88,0
28,72,12,39,17,57,57,7,44,88,14,88,86,13,20,17,12,98,32,51
30,12,30,74,63,26,49,4,75,32,43,73,41,97,75,51,82,57,93,8
77,18,26,20,90,55,8,67,61,5,72,82,46,40,31,26,78,43,16,47
81,78,4,35,56,72,58,92,58,91,3,90,60,98,22,63,48,82,63,83
32,67,7,65,68,19,69,31,63,31,7,87,60,56,4,23,34,84,100,4
62,22,6,47,2,10,86,82,63,35,30,79,98,75,50,19,73,18,11,94
60,67,58,61,74,91,19,80,78,55,45,59,11,57,23,93,74,29,88,88
64,87,14,60,25,73,10,13,83,86,68,73,86,12,83,52,62,63,82,57
100,24,60,23,22,86,43,69,53,9,46,18,21,83,92,38,10,75,39,80
90,30,5,23,29,51,89,76,61,92,29,81,57,83,5,85,86,50,59,72
8,62,86,12,39,48,94,5,42,14,82,59,65,12,5,79,82,84,20,19
79,17,54,54,35,7,68,63,38,34,40,8,97,86,90,11,91,72,48,20
93,84,24,51,56,7,68,79,63,57,9,77,17,32,55,99,42,46,9,7
46,21,89,51,59,10,27,33,22,24,67,2,25,99,99,19,85,45,71,50
93,68,54,50,39,4,6,30,58,23,73,90,21,86,15,43,74,20,1,35
63,86,46,94,1,43,99,72,77,83,25,48,26,70,41,46,95,83,5,10
45,4,47,57,72,59,16,26,85,67,38,75,98,9,62,54,28,90,8,85
2,49,43,88,78,2,21,26,95,74,52,36,53,44,87,32,7,38,75,99
70,19,31,70,84,16,14,45,97,32,4,58,92,85,53,12,95,27,56,87
77,45,0,76,67,55,63,100,87,18,75,17,41,43,64,17,50,45,10,76
67,24,37,48,67,87,51,97,13,5,84,30,86,33,18,56,16,97,71,33
24,3,0,36,64,45,91,3,0,26,11,28,83,79,48,99,19,29,24,96
30,12,35,38,64,59,96,93,29,11,79,81,95,26,50,86,2,5,92,44
14,62,27,63,56,10,23,9,6,93,31,63,36,95,79,22,30,57,96,48
29,47,87,77,69,23,96,64,71,46,0,29,59,4,3,41,31,82,64,5
64,74,93,16,17,69,22,82,62,51,47,92,18,81,36,11,9,12,53,52
40,46,37,58,13,95,72,43,71,43,88,37,49,90,6,89,96,97,17,24
73,81,94,76,100,46,25,79,64,22,70,76,41,24,31,96,63,69,22,16
56,5,29,23,14,63,38,87,39,42,66,85,40,52,45,92,82,6,38,100
97,84,70,16,40,82,61,31,66,0,20,22,79,22,73,25,5,21,41,23
54,79,86,95,90,61,93,35,72,1,32,94,90,8,0,95,0,8,64,40
93,94,16,12,7,23,34,60,77,80,66,28,59,49,65,3,87,80,8,90
75,9,14,26,51,76,19,4,40,97,20,91,18,3,74,53,56,100,26,52
19,99,63,29,62,35,77,65,79,56,80,75,95,30,14,83,68,23,69,27
33,37,79,4,77,84,63,61,85,54,87,98,0,99,79,66,96,50,53,23
55,24,17,57,82,5,38,5,56,50,12,57,5,85,87,56,67,61,55,21
43,30,13,2,88,69,92,61,60,98,18,68,14,51,36,11,70,51,43,14
45,4,50,33,91,80,55,18,64,97,35,55,36,32,82,17,68,19,99,49
34,92,83,94,21,12,23,74,0,14,91,1,100,28,72,20,60,94,93,62
49,58,11,71,13,11,85,63,7,47,37,64,93,58,10,16,79,1,11,61
77,28,37,49,95,5,67,10,38,25,92,32,23,80,100,44,15,41,33,57
30,20,52,75,10,7,48,44,99,17,1,1,51,27,4,26,19,61,85,72
36,68,48,92,38,57,39,31,23,49,74,89,2,0,57,63,83,58,48,88
97,50,92,64,32,23,22,5,62,52,38,7,98,13,0,73,93,88,17,60
76,56,12,87,41,27,68,68,93,93,55,14,28,97,69,97,82,42,53,7
8,90,36,99,68,29,28,13,27,11,54,75,87,33,76,21,48,12,95,35
9,38,98,97,26,83,95,30,85,35,20,57,18,11,23,97,53,91,82,49
78,85,60,40,59,27,19,28,6,5,69,25,12,87,85,59,47,38,47,95
97,6,94,14,22,8,7,12,33,22,74,93,76,94,67,13,38,60,82,85
72,32,67,66,6,80,83,96,3,26,85,0,35,50,16,82,29,5,69,19
0,97,14,100,50,23,74,83,65,74,52,23,53,62,33,95,85,76,41,34
24,31,35,74,41,100,97,8,85,57,46,29,39,58,50,49,90,88,71,46
96,47,51,88,66,84,91,80,68,2,41,76,26,39,60,66,84,50,3,19
71,37,9,49,85,83,100,29,2,95,55,3,81,58,21,92,59,53,77,44
48,88,1,89,98,19,76,55,78,68,36,6,81,5,40,39,47,96,57,36
35,13,80,77,72,75,17,31,82,3,14,96,77,75,86,13,21,96,20,31
46,78,55,33,13,24,6,8,95,63,96,69,44,25,90,40,52,35,6,78
13,32,63,83,28,18,13,91,98,71,47,10,67,1,57,44,9,100,74,79
71,59,74,34,99,86,16,91,94,43,14,33,24,30,23,19,13,97,48,52
94,97,46,32,58,29,66,55,78,14,57,19,2,96,24,70,66,75,56,97
97,20,94,64,61,41,71,12,27,80,50,57,21,34,46,100,80,25,39,94
94,52,87,22,90,9,82,48,73,1,68,48,21,52,13,77,79,81,79,19
82,86,39,56,20,6,45,3,50,83,43,65,10,76,21,54,57,25,63,100
61,19,93,70,12,99,0,59,37,43,31,38,68,74,1,17,1,51,87,88
50,41,63,84,38,64,53,4,61,35,9,21,10,58,81,35,9,29,76,76
15,86,23,40,53,23,33,98,42,69,75,11,100,74,6,50,24,24,5,34
23,96,93,46,63,16,92,8,42,73,39,20,9,83,14,98,85,63,4,81
80,25,9,17,36,19,92,93,55,61,14,3,11,5,33,71,48,62,34,82
80,86,41,89,85,4,10,2,92,83,63,61,65,81,20,51,46,34,68,94
40,14,76,16,60,25,60,2,73,20,8,75,95,71,48,33,31,8,82,2
90,57,91,23,75,41,92,41,27,70,36,37,88,53,94,94,51,46,29,98
94,91,6,66,6,58,16,15,5,48,85,23,94,11,89,61,61,11,94,32
90,26,27,70,93,31,52,58,47,93,30,79,50,65,22,12,100,42,5,37
7,1,17,60,84,14,74,21,2,50,2,24,9,81,90,60,36,59,85,74
82,46,32,60,86,80,1,23,92,61,26,44,83,21,52,52,80,38,45,11
57,56,34,24,86,31,99,33,47,48,55,63,41,87,95,72,26,30,11,7
70,99,37,97,76,1,35,50,83,93,2,17,70,79,40,43,16,27,19,81
29,34,56,20,96,31,14,85,54,69,42,89,74,9,14,78,14,21,28,79
86,54,92,86,4,80,44,86,75,13,54,85,29,58,76,84,80,12,86,53
87,85,59,90,92,31,97,72,62,6,41,15,42,34,72,26,14,51,63,71
39,16,10,66,82,13,42,77,42,0,69,93,7,51,36,78,88,38,37,36
67,6,88,11,56,14,92,15,30,39,1,28,89,9,14,73,93,65,97,32
56,64,55,50,47,73,8,42,27,26,28,94,91,29,73,25,64,100,29,45
94,46,28,12,38,86,44,22,84,5,79,21,91,10,52,70,20,10,54,87
66,32,65,1,61,72,62,40,6,76,35,85,58,52,32,96,59,62,93,81
49,54,42,61,30,36,78,0,97,43,14,4,83,27,70,15,1,58,58,7
58,33,14,2,25,64,38,82,75,81,7,19,72,81,58,33,76,29,18,67
82,7,22,56,17,18,92,80,23,95,60,99,54,7,67,36,60,54,1,29
47,82,0,11,58,87,59,39,26,22,15,86,35,43,92,69,55,56,53,77
75,66,21,50,76,23,63,10,65,1,53,56,60,10,17,39,30,60,74,65
64,81,61,71,6,8,48,62,84,98,85,50,21,85,46,4,57,60,94,88
48,83,94,70,47,15,59,16,3,7,67,54,42,60,44,63,99,55,9,71
24,80,82,87,28,48,38,100,14,35,25,18,23,22,43,91,6,3,90,41
62,53,80,29,6,96,56,57,22,66,6,6,45,77,73,35,28,34,32,97
45,100,20,80,49,67,67,76,72,100,40,28,56,91,10,90,2,52,47,62
57,68,8,82,50,7,79,13,29,43,31,87,75,7,41,30,60,38,2,78
70,88,41,93,84,59,63,57,24,97,61,65,73,36,99,54,81,79,46,97
99,53,21,69,43,5,3,22,9,29,65,80,34,40,15,50,21,11,64,100
87,40,11,10,86,8,29,36,72,17,49,3,42,91,10,98,71,83,73,85
63,96,96,67,66,20,30,25,74,70,42,85,0,2,75,99,20,30,41,8
73,61,73,72,100,30,40,31,89,0,93,30,48,44,36,46,18,82,41,73
69,69,60,14,41,75,54,57,58,75,1,16,12,19,98,71,72,4,13,19
60,78,37,6,20,59,89,85,21,4,7,11,8,55,73,60,0,90,9,0
1,85,99,73,90,58,68,82,79,23,69,38,99,92,75,52,69,22,18,2
94,10,25,56,32,69,40,83,86,57,30,5,92,92,10,10,81,93,83,49
19,9,6,46,81,66,24,12,32,2,80,15,62,21,9,35,57,20,29,91
98,5,13,19,94,54,72,16,56,38,92,18,16,63,10,19,30,35,70,92
88,0,4,82,39,85,86,66,29,49,61,62,5,63,32,94,82,41,69,96
39,74,34,61,59,21,19,94,2,25,67,79,97,67,45,58,62,81,23,48
54,32,70,34,90,63,92,10,16,87,1,82,21,11,57,46,32,47,92,39
24,41,67,86,84,30,67,12,4,14,56,72,22,8,100,34,98,6,68,20
83,53,76,21,9,55,22,81,7,65,95,44,39,41,46,44,86,66,79,43
17,59,43,38,50,52,3,4,76,37,66,65,9,34,51,94,81,75,31,68
19,1,32,14,56,95,37,34,20,57,12,28,22,75,9,3,9,15,77,99
20,34,89,55,30,68,77,51,90,84,84,18,61,28,39,59,55,75,47,12
6,3,69,70,33,57,48,92,10,64,96,48,47,48,72,37,88,49,55,61
82,48,95,6,83,4,85,32,58,91,5,34,35,0,80,20,14,91,43,43
38,49,43,33,3,45,44,72,4,74,48,1,57,76,81,52,1,84,54,47
13,11,1,6,80,89,87,80,93,95,6,32,7,72,54,92,15,86,32,54
66,80,52,30,36,95,60,0,46,68,25,59,75,47,53,15,36,58,91,23
97,63,4,6,78,2,58,43,0,48,51,11,45,48,32,97,85,8,34,79
95,6,67,92,73,30,95,93,46,27,59,49,81,49,89,81,36,80,15,94
10,62,16,85,5,74,20,10,28,54,89,91,1,64,95,71,52,33,97,92
89,80,29,41,79,90,23,31,14,80,98,7,36,59,62,13,4,45,0,44
72,83,31,28,83,9,59,37,8,88,79,38,72,8,52,75,92,53,5,18
32,92,15,87,72,54,96,16,37,66,63,5,76,36,16,40,90,75,78,79
59,78,59,19,41,62,15,95,80,66,78,27,100,39,75,2,45,96,86,36
80,50,81,77,5,23,21,13,44,7,51,82,33,28,81,8,9,69,53,41
58,81,66,48,5,28,25,99,47,7,26,28,26,94,60,22,49,77,13,3
91,17,58,52,59,43,9,33,24,65,44,47,57,61,65,4,67,76,65,95
11,54,74,97,86,8,22,43,10,98,77,22,57,74,11,93,15,64,14,96
37,70,87,27,97,61,21,78,5,5,11,64,0,40,61,22,88,93,10,52
53,82,13,34,53,61,36,44,76,9,92,5,29,74,22,54,5,88,15,41
58,40,91,42,45,47,0,33,0,57,30,56,46,78,35,61,36,31,22,61
8,58,5,9,89,26,27,75,26,23,76,54,17,52,41,88,8,83,65,2
72,61,30,40,79,98,22,13,65,75,59,70,77,26,3,77,95,3,26,86
64,79,43,52,32,73,49,28,5,100,31,3,60,42,69,35,31,86,45,46
55,76,50,48,94,43,79,77,89,73,70,66,85,76,100,9,13,83,43,67
25,98,85,61,85,60,24,47,98,12,11,17,93,40,33,32,40,66,82,78
74,65,10,78,66,17,1,23,93,100,29,56,55,14,64,7,71,62,73,55
68,94,46,41,78,14,52,95,66,31,35,35,20,15,41,15,92,12,15,30
84,48,44,21,35,94,61,16,93,62,61,60,10,23,100,100,92,15,75,10
20,65,88,60,83,2,98,58,68,12,12,89,80,34,1,21,68,0,38,28
79,63,68,84,68,8,90,24,48,89,94,30,89,99,79,47,7,2,51,2
11,19,20,6,90,10,46,48,4,84,33,30,4,66,37,82,22,97,51,56
83,69,0,32,95,26,74,4,57,53,62,25,66,27,58,61,52,24,49,82
20,63,78,94,0,28,83,87,28,89,83,52,64,44,39,91,45,80,65,5
68,91,9,58,33,1,79,52,79,91,96,86,12,36,29,32,13,40,65,52
92,70,5,47,50,42,91,29,76,30,84,3,43,63,80,40,89,83,20,75
52,44,10,72,50,46,7,83,85,42,43,58,33,56,74,74,69,87,21,61
74,17,23,38,81,57,81,88,95,76,35,65,28,73,53,8,70,6,69,49
62,26,60,76,75,96,34,45,31,9,49,33,8,79,13,79,91,8,24,4
63,17,0,90,8,68,21,10,37,29,25,4,25,6,65,44,31,73,15,60
21,10,88,67,75,22,97,78,5,24,82,36,66,5,22,40,95,40,100,86
66,47,9,29,27,58,28,84,85,80,66,15,46,71,58,26,36,99,99,5
25,61,11,68,43,43,81,11,6,27,73,8,75,6,79,3,17,83,48,17
1,67,8,54,50,63,1,88,54,19,21,80,5,98,77,80,2,86,82,72
2,93,94,73,43,80,72,6,37,28,90,90,10,45,95,77,36,69,80,10
13,2,61,30,19,65,79,62,33,64,28,6,23,21,98,91,32,89,5,24
60,49,5,73,90,59,69,78,66,45,95,52,47,13,7,16,33,23,69,31
83,8,14,82,15,67,45,88,2,16,39,20,46,64,81,48,78,2,49,49
100,9,86,13,39,30,8,44,18,78,33,27,34,30,62,43,46,2,66,42
6,86,23,72,9,34,6,80,43,75,86,52,5,49,46,83,29,13,61,24
14,78,54,25,55,17,0,57,61,19,82,64,40,43,41,91,12,62,48,55
56,14,22,5,46,60,20,13,34,22,55,83,42,39,66,25,17,45,74,6
37,97,11,18,94,52,88,90,96,91,74,58,72,81,8,70,71,48,90,69
17,62,0,88,91,28,54,40,36,38,91,65,38,31,87,43,66,38,70,57
59,85,74,50,51,45,74,88,75,87,6,65,45,79,67,17,36,79,25,97
66,75,94,18,13,95,10,87,68,97,65,6,92,16,56,49,48,34,6,93
27,1,47,83,44,80,50,4,11,51,100,37,35,6,92,42,50,15,94,19
83,48,13,22,37,30,4,55,63,94,13,13,47,99,54,28,94,19,0,78
38,40,80,21,80,16,95,78,86,95,49,67,93,23,7,18,52,7,37,15
92,49,23,98,75,78,41,25,77,39,67,25,54,19,99,21,81,79,19,41
82,49,79,35,52,49,48,87,13,28,60,44,61,64,57,53,20,55,7,6
93,97,27,41,85,45,86,8,38,22,8,6,0,60,70,89,57,96,92,11
92,57,50,36,67,93,48,29,92,2,7,34,40,6,52,2,67,2,95,72
49,58,96,39,93,57,64,86,37,37,86,74,83,75,52,38,50,52,63,100
35,94,15,87,73,89,18,89,41,58,30,60,29,20,20,69,75,41,50,89
16,67,48,23,3,85,6,64,49,62,44,3,98,35,94,96,28,69,16,37
63,92,69,2,6,63,25,29,82,86,93,52,8,9,68,4,92,83,37,25
11,59,62,95,22,8,19,17,14,34,72,16,69,5,1,53,29,99,79,55
56,32,41,17,45,42,25,91,78,25,77,51,61,5,1,53,100,63,66,22
39,54,33,42,81,41,87,1,83,31,35,28,2,44,6,26,68,20,35,78
36,2,41,17,68,35,1,60,100,70,69,1,80,28,91,29,36,22,65,64
84,74,53,16,86,21,39,40,49,86,43,46,92,50,21,59,9,75,71,73
1,28,46,8,71,99,98,93,11,88,53,20,50,78,37,98,17,28,38,50
7,10,69,66,56,49,4,34,41,49,80,51,4,80,12,13,31,68,48,88
43,43,74,52,58,25,19,31,38,49,29,41,95,89,71,3,77,69,73,89
72,13,60,39,52,83,95,17,35,71,29,32,86,32,71,70,4,39,70,74
30,16,9,14,76,100,33,51,42,74,20,20,47,99,76,35,36,58,60,1
39,94,43,19,41,26,31,68,0,20,22,82,75,0,19,24,3,20,35,45
84,65,5,87,88,13,53,77,88,79,30,69,73,29,70,39,5,63,20,25
91,45,10,5,74,99,88,24,70,96,74,12,62,15,67,12,78,97,73,88
15,19,84,43,97,12,95,87,62,74,85,32,34,7,1,44,22,64,70,66
0,51,1,88,64,43,13,22,57,69,85,71,8,99,81,28,60,46,22,47
51,52,97,14,66,100,28,61,67,99,66,27,20,99,11,22,60,94,20,74
31,62,92,11,54,7,87,60,65,91,30,76,82,65,77,70,13,94,16,37
6,77,75,24,34,35,56,86,50,3,28,20,15,44,84,29,9,24,22,10
4,42,15,64,51,72,69,97,3,17,23,28,90,27,32,93,7,26,22,56
46,92,15,12,61,48,41,1,78,96,17,23,56,68,84,20,3,51,90,41
60,79,37,93,63,27,26,81,10,0,14,11,46,56,43,30,86,12,64,26
93,67,17,71,4,20,58,32,67,27,67,41,37,62,70,2,39,93,23,85
23,30,17,55,97,91,70,32,41,87,20,3,17,41,43,20,64,8,68,49
82,38,89,80,24,37,5,72,97,6,22,89,7,78,73,26,67,64,26,63
49,26,70,84,15,64,38,95,67,37,0,1,47,9,54,55,27,68,43,67
27,80,8,9,48,0,50,85,54,30,71,82,92,64,88,41,24,36,76,89
81,50,91,49,45,77,71,20,43,85,24,38,55,24,96,20,10,10,87,18
84,39,51,37,54,75,32,52,14,47,14,91,93,97,67,70,39,15,76,42
84,74,62,96,40,97,13,66,18,8,1,63,18,100,59,27,12,74,97,81
1,2,75,30,46,38,0,58,10,84,83,34,76,18,77,71,81,20,21,33
17,68,95,13,87,25,78,54,100,15,59,22,41,92,58,75,98,16,71,27
75,45,89,91,83,7,44,41,26,44,29,60,8,25,90,46,66,2,74,94
89,29,35,10,5,67,17,65,62,23,92,6,18,8,35,8,7,52,27,68
98,49,90,30,17,66,6,5,81,56,53,25,85,37,31,48,45,79,93,51
29,5,40,96,21,66,44,83,84,46,14,97,63,98,73,38,59,52,8,75
67,91,32,74,29,32,86,88,31,30,58,17,93,27,90,16,1,70,63,88
45,91,68,90,66,89,77,100,90,34,52,39,21,92,46,27,43,46,95,41
86,99,99,57,95,17,41,90,57,71,83,11,66,57,68,89,7,13,73,27
28,84,17,46,2,22,71,61,5,41,8,86,0,38,3,60,33,98,83,65
34,11,10,12,54,70,14,81,48,16,88,61,16,72,89,74,95,44,4,1
76,39,91,85,60,70,30,44,0,8,2,26,62,93,18,19,47,68,53,59
34,69,9,40,71,9,46,86,28,64,41,31,81,33,67,73,38,41,26,5
89,4,18,86,4,34,10,68,53,100,4,0,34,16,27,32,62,42,51,70
49,12,60,86,87,47,96,63,32,54,90,4,11,60,94,97,9,37,8,67
19,35,70,74,99,26,61,43,85,53,95,72,26,52,76,4,70,22,21,76
47,28,24,98,24,44,8,60,66,81,60,73,99,1,34,19,39,83,18,28
10,57,58,0,12,14,51,25,50,33,85,87,41,10,20,50,45,14,42,86
100,3,14,97,3,78,90,19,50,37,40,72,31,32,38,29,27,67,77,68
73,27,94,74,53,70,37,3,17,37,73,42,38,19,94,88,29,7,91,95
67,34,83,16,1,90,22,76,93,25,88,98,20,8,12,49,51,4,64,84
62,82,80,86,76,46,39,44,52,68,22,84,70,89,87,14,53,47,17,73
77,29,32,100,36,49,65,46,37,37,40,65,81,96,66,80,10,26,29,97
47,30,44,57,99,13,62,89,18,49,70,52,59,10,20,98,26,10,44,30
1,19,48,97,89,15,37,28,67,100,37,17,12,44,40,19,37,45,45,42
33,66,18,81,11,25,87,6,24,13,57,78,87,84,43,60,37,61,55,1
79,34,85,37,42,65,5,23,60,74,5,37,22,59,50,47,94,12,7,10
77,77,74,86,78,65,38,46,15,91,10,21,68,54,99,67,11,35,89,58
62,39,90,20,58,21,34,37,36,14,71,35,28,17,35,65,32,76,36,74
27,76,70,62,43,42,48,23,40,64,78,87,16,80,32,93,44,67,2,90
35,58,92,26,65,26,8,89,12,90,21,7,29,84,97,80,87,11,10,2
10,3,92,91,11,30,0,44,94,8,22,23,53,42,69,4,1,24,47,20
98,4,99,93,59,92,24,79,74,55,0,68,44,60,86,3,32,15,40,46
55,46,61,48,30,46,19,24,74,41,74,27,46,58,61,32,57,20,41,71
74,90,60,7,9,53,4,91,42,15,68,0,54,16,78,99,28,76,4,24
15,13,98,14,64,86,74,62,35,25,16,36,77,10,67,13,13,99,89,16
3,10,11,33,60,67,62,37,88,86,24,23,21,69,50,4,53,36,59,8
76,60,29,69,24,9,6,87,18,11,26,87,96,32,68,89,86,31,64,77
95,56,15,32,97,22,30,26,84,50,58,0,67,2,100,30,75,1,97,45
34,75,51,54,41,88,50,15,1,82,97,76,41,25,24,10,20,59,96,50
47,90,65,9,49,54,87,77,99,91,82,27,49,90,41,54,40,47,49,5
15,0,62,4,68,87,69,49,43,61,69,40,16,39,97,1,100,6,97,46
